p_milk_dairy, p_wheat, p_eggs, p_legumes_soy, p_seafood, p_nuts, p_unknown_allergy, p_one_allergy, p_two_allergy,
0.45,0.65,0.25,0.15,0.14,0.1,0.15,0.5,0.25,
0.425499,0.662698,0.257516,0.146353,0.133004,0.0884744,0.128161,0.461554,0.261635,
0.425499,0.662698,0.257516,0.146353,0.133004,0.0884744,0.128161,0.461554,0.261635,
0.425499,0.662698,0.257516,0.146353,0.133004,0.0884744,0.128161,0.461554,0.261635,
0.425499,0.662698,0.257516,0.146353,0.133004,0.0884744,0.128161,0.461554,0.261635,
0.423941,0.700538,0.251214,0.138404,0.137878,0.0908975,0.127831,0.468954,0.234851,
0.452949,0.70737,0.252828,0.147425,0.142791,0.0850725,0.14559,0.477774,0.234696,
0.452949,0.70737,0.252828,0.147425,0.142791,0.0850725,0.14559,0.477774,0.234696,
0.429949,0.718872,0.295154,0.140875,0.159494,0.0498512,0.125759,0.451136,0.266411,
0.429949,0.718872,0.295154,0.140875,0.159494,0.0498512,0.125759,0.451136,0.266411,
0.425048,0.712009,0.250286,0.117009,0.14899,0.044555,0.12499,0.455755,0.240371,
0.425048,0.712009,0.250286,0.117009,0.14899,0.044555,0.12499,0.455755,0.240371,
0.425048,0.712009,0.250286,0.117009,0.14899,0.044555,0.12499,0.455755,0.240371,
0.436425,0.708254,0.247987,0.126855,0.158683,0.0555747,0.115781,0.42379,0.272122,
0.436307,0.688206,0.288586,0.124803,0.144932,0.0616313,0.125178,0.416621,0.276757,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.455388,0.660777,0.265254,0.11067,0.130384,0.0720602,0.0979741,0.425024,0.267985,
0.488524,0.667022,0.285564,0.128485,0.120153,0.0835903,0.115097,0.440487,0.280724,
0.466599,0.660387,0.277841,0.134321,0.0915911,0.0766902,0.11651,0.433564,0.281532,
0.469609,0.649832,0.266103,0.128933,0.108202,0.0972183,0.13051,0.468124,0.271181,
0.469609,0.649832,0.266103,0.128933,0.108202,0.0972183,0.13051,0.468124,0.271181,
0.469609,0.649832,0.266103,0.128933,0.108202,0.0972183,0.13051,0.468124,0.271181,
0.469609,0.649832,0.266103,0.128933,0.108202,0.0972183,0.13051,0.468124,0.271181,
0.44266,0.66907,0.275355,0.132786,0.101504,0.0989184,0.123187,0.432156,0.281294,
0.44266,0.66907,0.275355,0.132786,0.101504,0.0989184,0.123187,0.432156,0.281294,
0.433594,0.634134,0.257635,0.15966,0.111207,0.0946394,0.11357,0.405227,0.285313,
0.42685,0.611279,0.272424,0.145649,0.117125,0.0872319,0.10543,0.395119,0.287439,
0.463393,0.629172,0.267332,0.137912,0.146577,0.0847029,0.104043,0.41521,0.307077,
0.486715,0.657388,0.271893,0.136332,0.153444,0.0771712,0.157787,0.42881,0.328086,
0.480618,0.661935,0.23764,0.140616,0.169228,0.063144,0.166949,0.416713,0.341683,
0.485501,0.701871,0.219865,0.159436,0.1707,0.075791,0.155819,0.400923,0.32777,
0.485501,0.701871,0.219865,0.159436,0.1707,0.075791,0.155819,0.400923,0.32777,
0.485501,0.701871,0.219865,0.159436,0.1707,0.075791,0.155819,0.400923,0.32777,
0.448704,0.735465,0.233625,0.160303,0.190119,0.109574,0.13715,0.420073,0.329735,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
0.415334,0.717184,0.241572,0.169976,0.175238,0.0781197,0.129377,0.424119,0.340927,
